Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 15:47:34 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_118_20211001203937/ (72.9 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_118_20211001203937_116/ (72.9 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_119_20211001204201/ (82.0 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_119_20211001204201_117/ (82.0 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20210728174850/ (123.3 MB, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20211108152719/ (77.4 KB, 1662d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20211108152719_11/ (77.4 KB, 1662d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20211206172329/ (40.4 MB, 1634d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20220224164730/ (439.5 KB, 1554d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_11_20220419145853_8/ (17.2 MB, 1500d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_120_20211001204516/ (114.8 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_120_20211001204516_118/ (114.8 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_121_20211001212537/ (3.2 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_121_20211001212537_119/ (3.2 MB, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_122_20211004202235/ (152.4 MB, 1697d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_122_20211004202235_120/ (152.4 MB, 1697d old)
