Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: true
Started: Wed May 27 21:51:23 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210727185230/ (7.5M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210929204956/ (106M, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210929204956_98/ (106M, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210727185411/ (7.5M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210930154832/ (64M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210930154832_99/ (64M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210727185427/ (7.5M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210930155955/ (83M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210930155955_100/ (83M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_103_20210930191859/ (132M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_103_20210930191859_101/ (132M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210727190226/ (7.5M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210930191950/ (122M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210930191950_103/ (122M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210727190905/ (7.5M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210930192200/ (78M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210930192200_102/ (78M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050/ (7.4M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050_118/ (7.4M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050_119/ (7.4M, 1765d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210930192848/ (77M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210930192848_105/ (77M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_107_20210728140152/ (7.4M, 1764d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_107_20210728140152_120/ (7.4M, 1764d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_107_20210728140152_121/ (7.4M, 1764d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_107_20210930192918/ (56M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_107_20210930192918_104/ (56M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_108_20210930193312/ (90M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_108_20210930193312_106/ (90M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_109_20210930193350/ (97M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_109_20210930193350_107/ (97M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20210728174514/ (124M, 1764d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20211108151843/ (2.1M, 1661d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20211108151843_10/ (2.1M, 1661d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20211206170647/ (41M, 1633d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20220106163649/ (131M, 1602d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20220106163649_4/ (131M, 1602d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20220224160124/ (112K, 1553d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20220224160124_13/ (112K, 1553d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_10_20220419145140_7/ (572K, 1499d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_110_20210930202845/ (119M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_110_20210930202845_108/ (119M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_111_20210930204514/ (16M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_111_20210930204514_109/ (16M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_112_20210930212729/ (87M, 1700d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_112_20210930212729_110/ (87M, 1700d old)
